,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별,소계,2013년도 이전,2014년,2015년,2016년
0,중부서,2,2,3,2,105,65,1395,477,1355,1170,중구,671,413,190,72,348
1,남대문서,1,0,6,4,65,46,1153,382,869,794,중구,671,413,190,72,348
2,종로서,3,3,6,5,115,98,1070,413,1278,1070,종로구,1002,464,314,211,630
3,혜화서,3,2,5,4,96,63,1114,424,1015,861,종로구,1002,464,314,211,630
4,서대문서,2,2,5,4,154,124,1812,738,2056,1711,서대문구,962,844,50,68,292
5,용산서,5,5,14,14,194,173,1557,587,2050,1704,용산구,1624,1368,218,112,398
6,성북서,2,2,2,1,86,71,953,409,1194,1015,성북구,1464,1009,78,360,204
7,종암서,3,3,3,3,64,53,832,332,1015,840,성북구,1464,1009,78,360,204
8,동대문서,5,5,13,13,173,146,1981,814,2548,2227,동대문구,1294,1070,23,198,579
9,마포서,8,8,14,10,294,247,2555,813,2983,2519,마포구,574,314,118,169,379
10,영등포서,14,12,22,20,295,183,2964,978,3572,2961,영등포구,904,495,214,195,373
11,성동서,4,4,9,8,126,119,1607,597,1612,1395,성동구,1062,730,91,241,265
12,동작서,5,5,9,5,285,139,1865,661,1910,1587,동작구,1091,544,341,103,314
13,광진서,4,4,14,26,240,220,3026,1277,2625,2180,광진구,707,573,78,53,174
14,서부서,2,2,2,1,70,59,819,293,1192,1038,은평구,1873,1138,224,278,468
15,은평서,1,1,7,5,96,82,1095,418,1461,1268,은평구,1873,1138,224,278,468
16,강북서,7,8,14,13,153,126,1434,618,2649,2348,강북구,748,369,120,138,204
17,금천서,3,4,6,6,151,122,1567,888,2054,1776,금천구,1015,674,51,269,354
18,중랑서,13,12,11,9,187,148,2135,829,2847,2407,중랑구,660,509,121,177,109
19,강남서,3,3,15,12,300,225,2411,984,2465,2146,강남구,2780,1292,430,584,932
20,수서서,10,7,6,6,149,124,1439,666,1819,1559,강남구,2780,1292,430,584,932
21,관악서,9,8,12,14,320,221,2706,827,3298,2642,관악구,1496,846,260,390,613
22,강서서,7,8,13,13,262,191,2096,1260,3207,2718,양천구,2034,1843,142,30,467
23,양천서,3,5,6,3,120,105,1890,672,2509,2030,양천구,2034,1843,142,30,467
24,강동서,4,3,6,8,156,123,2366,789,2712,2248,강동구,773,379,99,155,377
25,구로서,8,6,15,11,281,164,2335,889,3007,2432,구로구,1561,1142,173,246,323
26,서초서,7,4,8,5,334,193,1982,905,1852,1607,서초구,1930,1406,157,336,398
27,방배서,1,2,1,1,59,56,653,186,547,491,서초구,1930,1406,157,336,398
28,송파서,11,10,13,10,220,178,3239,1129,3295,2786,송파구,618,529,21,68,463
29,노원서,10,10,7,7,197,121,2193,801,2723,2329,노원구,1265,542,57,451,516
30,도봉서,3,3,9,10,102,106,1063,478,1487,1303,도봉구,485,238,159,42,386
